"","correlation","t-stat","p-value","FDR"
"CHOYP_LOC101078542.1.1m.44610",0.50255,2.5338,0.020243,0.52816
"CHOYP_MLP2.4.4m.62619",0.50227,2.5319,0.020325,0.52816
"CHOYP_ARPC2.1.1m.50573",0.50208,2.5306,0.020381,0.52816
"CHOYP_DSEC_GM19691.1.1m.30070",0.50184,2.529,0.02045,0.52816
"CHOYP_ADA17.1.3m.798",0.50156,2.5271,0.020532,0.52816
"CHOYP_contig_027593m.31285",0.50127,2.5251,0.020617,0.52816
"CHOYP_LOC100378204.1.1m.40064",-0.50122,-2.5248,0.020631,0.52816
"CHOYP_LOC100533447.2.3m.44496",0.50085,2.5223,0.020739,0.52816
"CHOYP_LOC101165968.3.7m.49147",0.5004,2.5193,0.020872,0.52816
"CHOYP_LOC100372028.1.1m.22341",-0.5,-2.5166,0.020992,0.52816
"CHOYP_LOC100211409.1.1m.4742",0.49975,2.5149,0.021067,0.52816
"CHOYP_PTN11.4.4m.62827",0.49973,2.5148,0.021073,0.52816
"CHOYP_CELE_F01D5.5.1.1m.4263",0.49954,2.5135,0.021129,0.52816
"CHOYP_BRAFLDRAFT_108193.2.2m.37878",0.49914,2.5108,0.02125,0.52816
"CHOYP_AGAP_AGAP002739.3.5m.47030",0.49863,2.5074,0.021403,0.52816
"CHOYP_contig_047731m.56360",-0.49859,-2.5072,0.021415,0.52816
"CHOYP_GALK2.1.2m.5222",0.49852,2.5067,0.021437,0.52816
"CHOYP_BRAFLDRAFT_81322.1.2m.17860",0.4977,2.5012,0.021685,0.52816
"CHOYP_LOC100690874.1.2m.62880",0.4977,2.5012,0.021685,0.52816
"CHOYP_LOC100377364.2.2m.52803",0.49738,2.499,0.021784,0.52816
"CHOYP_SMP_087250.2.2m.25167",0.49726,2.4983,0.021821,0.52816
