"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_TBA.3.6m.29936",9.2508,0.00032886,3.483,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100373351.1.3m.49572",9.2265,0.00033343,3.477,0.022302,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_BRAFLDRAFT_279978.1.1m.30960",9.1681,0.0003447,3.4626,0.022302,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 3 - 15; 7 - 15; 9 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_008002m.9263",9.1589,0.00034654,3.4603,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100369689.1.1m.28663",9.1538,0.00034753,3.459,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_MYS.1.7m.435",9.1429,0.00034972,3.4563,0.022302,"15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 15 - 13; 3 - 13; 5 - 13; 7 - 13; 9 - 13"
"CHOYP_contig_015923m.18643",9.1429,0.00034972,3.4563,0.022302,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100371332.1.6m.7760",9.1394,0.00035042,3.4554,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_IRF1.1.3m.52606",9.1268,0.00035295,3.4523,0.022302,"13 - 11; 15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 5 - 15; 3 - 9; 5 - 9"
"CHOYP_contig_001114m.1165",9.0952,0.0003594,3.4444,0.022302,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 7 - 15; 9 - 15; 3 - 5; 7 - 5; 7 - 9"
"CHOYP_LOC100902912.1.1m.9008",9.049,0.0003691,3.4329,0.022302,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_XDH.1.3m.46824",9.0159,0.00037623,3.4245,0.022302,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_BRAFLDRAFT_240825.1.1m.43452",9.0103,0.00037745,3.4231,0.022302,"7 - 11; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_contig_031802m.36287",9,0.0003797,3.4206,0.022302,"15 - 11; 15 - 13; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_LOC100533444.1.1m.33578",9,0.0003797,3.4206,0.022302,"11 - 13; 11 - 15; 11 - 3; 11 - 5; 11 - 7; 11 - 9"
"CHOYP_NEMVEDRAFT_V1G224038.4.5m.31140",9,0.0003797,3.4206,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_FANCJ.1.1m.17513",9,0.0003797,3.4206,0.022302,"9 - 11; 9 - 13; 9 - 15; 9 - 3; 9 - 5; 9 - 7"
"CHOYP_PSTA_1282.1.1m.55952",9,0.0003797,3.4206,0.022302,"15 - 11; 15 - 13; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_KDM1B.1.1m.15843",9,0.0003797,3.4206,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC585638.1.1m.10100",9,0.0003797,3.4206,0.022302,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_033179m.37880",8.9848,0.00038305,3.4167,0.022302,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_RIMB2.3.5m.17363",8.9762,0.00038498,3.4146,0.022302,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC100377378.1.1m.64418",8.9445,0.00039212,3.4066,0.022559,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_LOC100375219.1.1m.30268",8.8812,0.00040688,3.3905,0.022834,"3 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_TOP1.5.5m.61515",8.8784,0.00040755,3.3898,0.022834,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_NIPSNAP3A-B.1.1m.62397",8.8705,0.00040943,3.3878,0.022834,"5 - 11; 7 - 11; 7 - 13; 7 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_BRAFLDRAFT_127851.1.1m.10499",8.8696,0.00040965,3.3876,0.022834,"15 - 11; 3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 7 - 15; 7 - 3; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_contig_025684m.29301",8.8614,0.00041161,3.3855,0.022834,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_BRAFLDRAFT_124972.2.5m.4101",8.8543,0.00041333,3.3837,0.022834,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_DVIR_GJ11008.1.1m.11917",8.7829,0.00043105,3.3655,0.023525,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_SMP_171550.1.1m.44645",8.7778,0.00043235,3.3642,0.023525,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_92024.1.1m.49813",8.7635,0.00043599,3.3605,0.023525,"11 - 13; 11 - 15; 5 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_LOC101169658.1.3m.18820",8.7592,0.00043711,3.3594,0.023525,"11 - 3; 11 - 5; 13 - 3; 13 - 5; 15 - 3; 15 - 5; 7 - 3; 9 - 3; 7 - 5; 9 - 5"
"CHOYP_LOC100370600.1.1m.29572",8.6918,0.00045491,3.3421,0.024184,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 7 - 13; 3 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
