protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_TBA3.1.1.m.5111,69.65905,87.3643,79.69585,91.7559,54.53855,135.45645,75.94475,15.78245,70.5466,37.6123,57.6196,131.253,11,springgreen
CHOYP_LOC100377364.1.2.m.4828,0.19835,0.4491,0.31335,0.37105,0.33495,0.6119,0.3616,0.33745,0.37245,0.2128,0.3917,0.4578,11,springgreen
CHOYP_DHTK1.1.1.m.8425,0.1,0.1,7.1727,7.2018,6.1119,8.4591,7.9392,8.52795,1.70495,4.4596,4.66315,0.1,11,springgreen
CHOYP_BRAFLDRAFT_114866.4.5.m.35627,273.6752,321.98585,333.60405,341.1687,320.24755,446.31735,370.8376,436.9669,332.88915,300.30495,281.96875,292.66465,11,springgreen
CHOYP_MUC5A.1.2.m.43407,0.1,14.2805,10.74535,6.62945,25.1387,44.57865,17.07705,32.276,5.11395,8.90205,9.2501,0.1,11,springgreen
CHOYP_LOC100123907.1.1.m.2987,63.6239,52.27795,76.47595,37.7597,30.92425,49.64275,41.0455,52.92445,0.1,0.1,0.1,37.67485,11,springgreen
CHOYP_RS23.1.9.m.12948,125.7829,216.5887,158.9832,143.88085,145.7166,207.1506,184.63675,171.4445,108.1729,114.42875,115.48745,168.0397,11,springgreen
CHOYP_ERF3A.1.1.m.57282,59.5292,78.4041,77.4133,73.8754,66.348,74.07665,71.96035,77.70605,58.0043,63.22505,61.46905,60.62515,11,springgreen
CHOYP_ISCW_ISCW012366.1.1.m.3691,27.7339,47.732,56.5607,58.6962,31.1401,57.19835,45.9183,31.86805,29.7575,43.38455,6.80475,28.6021,11,springgreen
CHOYP_VATA.1.1.m.44460,63.4817,69.88065,68.9255,74.7932,66.25095,81.70735,71.43255,69.4916,60.98255,65.998,63.02085,68.29435,11,springgreen
CHOYP_FLNC.2.5.m.37450,81.5414,33.6706,67.2842,95.96065,33.58835,128.7836,35.2787,112.16945,40.89295,77.0798,35.2326,49.4305,7,navy
CHOYP_LOC100709262.1.2.m.17960,0.86255,0.1,1.29565,2.1691,0.1,0.60905,0.1,1.8359,0.56255,0.1,0.1,1.2539,7,navy
CHOYP_contig_033285.m.37973,43.44165,27.8101,49.22915,59.5903,52.63315,59.86195,0.1,27.97,58.60165,34.0349,32.0456,48.07525,7,navy
CHOYP_LOC101173335.2.4.m.33982,0.4096,9.74015,30.99705,33.31835,17.31315,26.44165,13.072,13.9462,24.3734,34.25485,8.54025,30.42545,7,navy
CHOYP_CATA.3.3.m.21642,0.1,31.19375,31.68345,34.1246,46.8637,68.2655,13.09295,23.3509,23.311,41.90195,3.55915,15.9025,7,navy
CHOYP_ACT3A.1.1.m.25943,60.1365,45.42865,63.8368,72.1798,72.37645,88.0521,55.58325,60.00605,56.81375,82.4713,38.57225,54.38425,7,navy
CHOYP_LOC100113561.1.1.m.37903,73.776,43.5905,64.1583,46.2942,58.934,77.7367,50.38505,79.1717,76.40515,71.46135,34.88475,54,15,dodgerblue2
CHOYP_TBB4B.7.7.m.63980,428.7215,242.1056,247.93235,220.68445,384.00315,308.5597,261.08445,359.34275,260.92085,285.65025,176.5041,192.195,15,dodgerblue2
CHOYP_TVAG_355490.6.22.m.13410,0.8486,2.3965,0.1,0.1,0.1,0.59945,0.47175,3.63375,0.1,0.1,0.1,0.1,15,dodgerblue2
CHOYP_TBA1.7.9.m.44107,0.1,0.1,0.1,0.1,0.1,0.1,0.1,153.7642,0.1,0.1,0.1,0.1,15,dodgerblue2
