gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
CAP1.2.2.m.45011,78.75975,84.48005,61.03525,76.4064,59.07755,64.61495,55.3003,69.92925,64.82935,61.08085,63.09435,90.2672
MSRB2,37.17375,53.194,37.7152,67.9979,46.5218,46.23945,46.82915,65.41655,61.03385,86.17205,49.6907,57.0898
PAIRB,30.5786,79.9398,74.7245,51.65405,55.6508,67.8275,42.11675,73.20885,60.45025,68.25225,65.3911,97.0933
TXD17,67.9373,68.8351,47.44815,80.2976,60.236,63.5999,47.5174,49.35265,59.1693,70.4516,50.43575,51.9213
SKP1,122.54865,134.83555,135.3682,115.54135,108.06035,121.0161,75.81055,115.70095,103.76295,152.54295,101.24885,125.77095
LAMA,13.02755,5.00415,14.46825,11.30975,15.8921,13.55055,8.52275,11.6496,19.31825,21.1113,18.37395,13.4429
ACTB3,0,416.6036,0,0,0,0,0,88.20305,0,219.74785,399.37935,0
MLRA,155.68725,237.1733,211.3955,231.72595,188.45175,172.0326,132.10545,135.09675,151.98065,181.06865,163.32115,234.9345
L2EFL,26.79,33.7933,8.1265,39.6474,23.57455,62.27,41.5802,53.8018,18.73625,40.84255,15.78265,38.8143
H4,243.9528,217.14365,268.7364,281.378,159.1001,265.46915,242.87365,175.40645,228.2578,232.59085,185.9719,253.4103
MUC1.1.2.m.17333,3.37605,3.99945,0.19695,0.6617,0.3193,5.27935,1.7252,2.6493,0.45555,0.45025,5.37905,1.9865
MYDGF.1.2.m.6533,66.20035,74.72465,66.40635,67.7631,55.0928,54.52605,62.42775,70.5721,54.6285,69.3415,62.3906,79.3424
VWDE.3.3.m.29759,18.8198,17.8163,15.0213,12.3432,3.6329,15.90545,15.6331,21.91415,23.6525,24.8439,21.0299,19.9338
ATPD,273.36825,102.90055,153.9401,128.20075,133.43575,154.01955,197.0244,259.43175,180.9229,277.0791,279.45035,177.08655
PPIA,450.16025,499.26,369.9468,438.7492,475.48035,426.9364,390.79095,464.97635,452.0377,492.59345,434.48045,465.04785
CO6A3.2.4.m.33982,17.31315,8.54025,26.44165,30.42545,0.4096,13.072,9.74015,13.9462,30.99705,24.3734,33.31835,34.25485
MYPH,183.0191,214.32635,168.2268,0,74.04785,0,57.98815,82.0958,58.2571,171.43925,163.1489,177.58445
