CHOYP_LOC101076790.1.1.m.45316	GO:0004180;GO:0005615;GO:0008237;GO:0008241;GO:0016020;GO:0046872
CHOYP_LOC101159300.1.1.m.26609	GO:0003735;GO:0005739;GO:0005762;GO:0006412
CHOYP_LOC101173335.4.4.m.49816	
CHOYP_LOC101470738.2.2.m.26124	GO:0005524;GO:0005737;GO:0005856
CHOYP_LOC578464.1.1.m.46553	GO:0004499;GO:0005789;GO:0005829;GO:0016021;GO:0031090;GO:0050660;GO:0050661
CHOYP_LOC591797.1.3.m.11526	GO:0000012;GO:0000784;GO:0000790;GO:0001666;GO:0005634;GO:0005730;GO:0006281;GO:0006284;GO:0006303;GO:0010033;GO:0010836;GO:0019899;GO:0021587;GO:0021766;GO:0032356;GO:0033194;GO:0042493;GO:0050882;GO:0061819;GO:0070522;GO:1903518;GO:1904877;GO:1905765;GO:1990414
CHOYP_LOC592142.4.9.m.49474	GO:0004560;GO:0005576;GO:0005764;GO:0006004;GO:0016139
CHOYP_LOC592411.1.1.m.19664	GO:0000398;GO:0003723;GO:0005634;GO:0071007
CHOYP_LOC592528.1.2.m.17290	GO:0000338;GO:0005654;GO:0005737;GO:0008180
CHOYP_LOC657694.1.1.m.34526	GO:0001678;GO:0004340;GO:0004396;GO:0005524;GO:0005536;GO:0005829;GO:0006000;GO:0006006;GO:0006013;GO:0006096;GO:0008865;GO:0019158
CHOYP_LOC660510.1.1.m.56258	GO:0003676;GO:0005615;GO:0005886;GO:0007624;GO:0009897;GO:0016491
CHOYP_LOC662320.2.2.m.19454	GO:0000243;GO:0000398;GO:0003729;GO:0005634;GO:0005685;GO:0016607;GO:0030619
CHOYP_LOC754102.1.1.m.57578	GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017
CHOYP_MBLK1.1.1.m.51933	GO:0005737;GO:0032426;GO:0032433;GO:0048678
CHOYP_MD27A.1.2.m.18338	GO:0016592
CHOYP_NCBP2.1.1.m.60410	GO:0000339;GO:0005634;GO:0005846;GO:0030422;GO:0031053;GO:0045071;GO:0045292
CHOYP_NEMVEDRAFT_V1G179696.1.1.m.40556	GO:0005212
CHOYP_NEMVEDRAFT_V1G235656.1.1.m.19149	GO:0005739
CHOYP_NEMVEDRAFT_V1G244537.2.3.m.10401	
CHOYP_NEUFC.1.1.m.44515	GO:0005576;GO:0020037;GO:0045666
CHOYP_PAN2.1.1.m.44691	GO:0005524;GO:0005737;GO:0005856
CHOYP_PAN2.1.1.m.44693	GO:0005524;GO:0005737;GO:0005856
CHOYP_PHUM_PHUM128460.4.7.m.38295	GO:0005070;GO:0005737;GO:0005886;GO:0007169;GO:0035556;GO:0036464;GO:0042113
CHOYP_PHUM_PHUM241330.1.3.m.29132	GO:0000381;GO:0000398;GO:0003723;GO:0005634;GO:0005654;GO:0005737;GO:0006397;GO:0006405;GO:0006406;GO:0008270;GO:0008380;GO:0016607;GO:0019904;GO:0031124;GO:0045292;GO:0048025;GO:0070062;GO:1990830
CHOYP_PK1IP.1.1.m.49466	GO:0000049;GO:0001514;GO:0005634;GO:0005737
CHOYP_PLRG1.1.1.m.65600	GO:0000398;GO:0000974;GO:0001650;GO:0005634;GO:0005662;GO:0016607;GO:0031965;GO:0034504;GO:0071007;GO:0071013;GO:0080008;GO:1900087
CHOYP_POLR3K.1.1.m.8423	GO:0003676;GO:0003899;GO:0005654;GO:0005666;GO:0005730;GO:0005829;GO:0006383;GO:0006386;GO:0008270;GO:0042779;GO:0045087;GO:0051607
CHOYP_PRP6.2.2.m.34365	GO:0004364;GO:0005737
CHOYP_RAB21.1.1.m.56542	GO:0003924;GO:0005525;GO:0005768;GO:0005769;GO:0005789;GO:0005802;GO:0006886;GO:0008089;GO:0009898;GO:0012506;GO:0017157;GO:0019003;GO:0030516;GO:0030659;GO:0032154;GO:0032482;GO:0032580;GO:0043005;GO:0045202;GO:0048260;GO:0050775;GO:0098559;GO:1904115;GO:2000643
CHOYP_RAC1.1.3.m.20871	GO:0000139;GO:0001764;GO:0001934;GO:0002551;GO:0003924;GO:0005525;GO:0005737;GO:0005802;GO:0005829;GO:0005884;GO:0006935;GO:0007015;GO:0007266;GO:0008283;GO:0008361;GO:0010592;GO:0016020;GO:0016601;GO:0017137;GO:0019901;GO:0030027;GO:0030031;GO:0030032;GO:0030036;GO:0030334;GO:0031116;GO:0031410;GO:0031996;GO:0032587;GO:0032707;GO:0034446;GO:0036464;GO:0042470;GO:0042826;GO:0043197;GO:0044877;GO:0045428;GO:0045453;GO:0045740;GO:0048012;GO:0048812;GO:0048870;GO:0051022;GO:0051117;GO:0051496;GO:0051668;GO:0051894;GO:0055038;GO:0060263;GO:0071260;GO:0071526;GO:0090023;GO:0097178;GO:0098978;GO:1900026
CHOYP_RL24.6.9.m.43124	GO:0005840
CHOYP_RL8.10.10.m.65636	GO:0002181;GO:0003735;GO:0019843;GO:0022625
CHOYP_ROA3.2.2.m.11068	GO:0003723;GO:0005634;GO:0006397;GO:0006406
CHOYP_ROAA.3.6.m.39522	GO:0000122;GO:0001837;GO:0003723;GO:0005634;GO:0005654;GO:0005737;GO:0043565;GO:0045893;GO:0090575;GO:0099523;GO:1990837;GO:1990904
CHOYP_RS26.14.15.m.57342	GO:0002181;GO:0003735;GO:0022627;GO:0042788;GO:0098556
CHOYP_SAMH1.10.12.m.55275	GO:0000724;GO:0003676;GO:0003697;GO:0003723;GO:0004540;GO:0005525;GO:0005622;GO:0005634;GO:0005654;GO:0005886;GO:0006203;GO:0006955;GO:0006974;GO:0008270;GO:0008832;GO:0009264;GO:0016446;GO:0016793;GO:0032567;GO:0035861;GO:0042802;GO:0045088;GO:0046061;GO:0051289;GO:0051607;GO:0060337;GO:0060339;GO:0110025
CHOYP_SEPT5.1.2.m.11458	GO:0003924;GO:0005198;GO:0005525;GO:0005886;GO:0005940;GO:0008021;GO:0015630;GO:0016080;GO:0017157;GO:0031105;GO:0032947;GO:0060271;GO:0061640;GO:2000300
CHOYP_SI_CH211-197G15.7.3.3.m.61063	GO:0005525;GO:0005737;GO:0006955;GO:0051607
CHOYP_SPTCA.2.2.m.25615	GO:0003779;GO:0005509;GO:0005516;GO:0005794;GO:0005886;GO:0005938;GO:0007009;GO:0007026;GO:0007274;GO:0007294;GO:0007308;GO:0007417;GO:0008017;GO:0008091;GO:0008092;GO:0008360;GO:0016199;GO:0016323;GO:0030707;GO:0030727;GO:0031594;GO:0042062;GO:0045169;GO:0045170;GO:0045478;GO:0048134;GO:0048790;GO:0050807;GO:0051693
CHOYP_TBA.5.6.m.37448	GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017
CHOYP_TBA1.2.9.m.9962	GO:0000226;GO:0000278;GO:0000281;GO:0003924;GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017;GO:0017022;GO:0048471
CHOYP_TBA1A.2.4.m.19573	GO:0000226;GO:0000278;GO:0003924;GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017
CHOYP_TEKT5.1.1.m.60033	GO:0002080;GO:0002081;GO:0005634;GO:0030317;GO:0036126;GO:0060271;GO:0060294;GO:0060378;GO:0070062
CHOYP_THUM3.1.1.m.17928	GO:0003723;GO:0005730;GO:0005829;GO:0016423;GO:0030488
CHOYP_TOL2_C08810.1.1.m.6377	GO:0009102;GO:0010340;GO:0080030;GO:0102130
CHOYP_TPM.17.19.m.63919	
CHOYP_TSN3.1.1.m.57074	GO:0000139;GO:0005789;GO:0005887;GO:0007166;GO:0007275;GO:0043473
CHOYP_UB2G2.1.1.m.7534	GO:0004842;GO:0005524;GO:0018279;GO:0030433;GO:0070936
CHOYP_VATG.1.2.m.4407	GO:0016324;GO:0016471;GO:0042626;GO:1902600
CHOYP_WASP.1.1.m.35786	GO:0000147;GO:0002625;GO:0005634;GO:0005829;GO:0005884;GO:0005911;GO:0006897;GO:0006952;GO:0006955;GO:0007596;GO:0008064;GO:0008154;GO:0008544;GO:0010591;GO:0012506;GO:0015629;GO:0016197;GO:0017124;GO:0019901;GO:0030041;GO:0030048;GO:0030479;GO:0030695;GO:0031267;GO:0032488;GO:0035861;GO:0038096;GO:0042110;GO:0042802;GO:0043274;GO:0045335;GO:0045944;GO:0048365;GO:0050852;GO:0051015;GO:0051127;GO:0051492;GO:0051497;GO:0051666;GO:0065003;GO:0070062;GO:0071346;GO:1905168;GO:2000146;GO:2000601
CHOYP_YAHB.1.1.m.25422	
